Actual_GPP,Predicted_GPP_Optimized,Predicted_GPP_Linregress
-0.517364,-2490.9319000607074,-2072.787480003938
-0.0942406,-2082.4016856518033,-1918.119267862392
-0.166819,-1995.5886422165431,-1950.851500524902
-0.582301,-2178.491505102483,-2091.630310318224
-0.56824,-2556.567575280041,-2023.3620126055814
-0.529415,-2230.642973476423,-2069.4932732684056
-0.579116,-2385.468469878548,-2101.583614387636
-0.467588,-2399.770099940735,-1971.9241533894024
-0.484122,-2483.800334663972,-2040.881022675101
-0.594398,-2633.24548286341,-2035.9915479607891
-0.746592,-2743.879127921885,-2009.0346707614729
-0.417154,-2643.2473920959505,-1958.9617789560975
-0.431822,-2829.047449345491,-1979.5809133784253
-0.297978,-2573.8717635123526,-1948.6448725584291
-0.251941,-2382.7850392074697,-1940.1501606633738
-0.0212918,-1978.9402785436307,-2020.1155641369746
-0.0592131,-1849.5496123101536,-1945.1202772799927
-0.109431,-1555.581974200896,-1869.356249160361
-0.301469,-2064.4664872490353,-2011.573956142844
-0.1478,-1868.8844769316622,-1991.093289400594
-0.163484,-1785.5228933719532,-1938.0661796279012
-0.0208715,-1630.4576454151659,-1881.0280904148815
-0.017001,-1612.6068425190897,-1880.387993847118
-0.231621,-1953.2999213954024,-1967.965510206384
-0.407123,-2069.3892127364616,-2008.084604771621
-0.314127,-2099.2577330730564,-2009.2244327347505
-0.0338331,-1669.401732689607,-1884.7015713074722
-0.187249,-1799.6104859212305,-1937.9822175861334
-0.166331,-2065.4783782728155,-2065.2819411879914
-0.0516608,-1910.1192552839516,-2062.1060626852463
-0.0891127,-1932.9687515532678,-2068.595833172891
-0.196025,-1641.5570240313107,-1892.2476938291434
-0.0695248,-1958.9545938408623,-2034.1332961793537
-0.0203337,-1639.1717797497356,-1906.6830457640383
-0.364477,-1998.0325682428402,-2126.993060783981
-0.125857,-2054.9901355173038,-1993.4330487805514
-0.165243,-2071.358051474283,-2046.0221115593704
-0.243077,-2602.0847895993697,-2044.8333582536377
-0.134937,-1912.8069794459934,-1957.7802008878266
-0.0818792,-2017.3057619516444,-2109.9312280350778
0.0466391,-1575.7753046326516,-1956.9964601797694
0.0922656,-1421.674862702756,-1872.6305780576
-0.343312,-2334.8514244036646,-2073.1467164355636
